doctor_name,doctor_type,experience_years,location,hospital,fees,city
Dr. Gurjar Sanjay Kumar,General Surgeon,15,"Heerapura , Jaipur",SRG Hospital,500.0,Jaipur
Dr. Govind Sharan Sharma,General Physician,16,"Heerapura , Jaipur",SRG Hospital,500.0,Jaipur
Dr. Vinod Kumar Atreya,General Surgeon,41,"Heerapura , Jaipur",SRG Hospital,500.0,Jaipur
Dr. Surendra Agrawal,General Physician,26,"Jagatpura Road , Jaipur",Srishti Medicare Private Limited,500.0,Jaipur
Dr. Amit Bengani,General Surgeon,23,"Mansarovar , Jaipur",Amar Medical And Research Centre,500.0,Jaipur
Dr. Sandeep Jain,General Physician,27,"Sector 7 , Jaipur",Tagore Hospital & Research Institute,500.0,Jaipur
Dr. Vijay Rathore,General Surgeon,32,"Sector 7 , Jaipur",Tagore Hospital & Research Institute,500.0,Jaipur
Dr. Khemchand Bansal,General Surgeon,25,"Sector 7 , Jaipur",Tagore Hospital & Research Institute,500.0,Jaipur
Dr. Sanjay Tambi,General Surgeon,28,"Jawahar Lal Nehru Marg , Jaipur",Soni Hospital,600.0,Jaipur
Dr. Amit Sharan,General Surgeon,21,"Mansarovar , Jaipur",Amar Medical And Research Centre,700.0,Jaipur
Dr. Goyal Shyam Behari,General Physician,38,"Mansarovar , Jaipur",Amar Medical And Research Centre,1000.0,Jaipur
Dr. Bhim Chand Meena,General Surgeon,15,"Mansarovar , Jaipur",Amar Medical And Research Centre,500.0,Jaipur
Dr. Vinod Sharma,General Physician,17,"Ganesh Vihar , Jaipur",HCG Cancer Centre,1200.0,Jaipur
Dr. Anil Vaidya,General Surgeon,36,"Jagatpura Road , Jaipur",Srishti Medicare Private Limited,1000.0,Jaipur
Dr. Venkatesh B S,General Surgeon,17,"Jagatpura Road , Jaipur",Srishti Medicare Private Limited,1000.0,Jaipur
Dr. Rajendra Kumar,General Physician,45,"Mansarovar , Jaipur",Amar Medical And Research Centre,1000.0,Jaipur
Dr. Ananth Padmanaban,Internal Medicine,45,"Jagatpura Road , Jaipur",Srishti Medicare Private Limited,1000.0,Jaipur
Dr. Ajeet Singh,General Physician,27,"Mansarovar , Jaipur",Amar Medical And Research Centre,1000.0,Jaipur
Dr. Aayushi Choudhary,General Physician,9,"Jaipur , Jaipur",Purple Heron Hospital,1200.0,Jaipur
Dr. Suchrita Yadav,General Physician,14,"Mansarovar , Jaipur",Amar Medical And Research Centre,1000.0,Jaipur
Dr. Manoj Kumar Saini,General Surgeon,13,"Jawahar Lal Nehru Marg , Jaipur",Soni Hospital,500.0,Jaipur
Dr. Meena Mahendrakumar,General Surgeon,11,"Jagatpura Road , Jaipur",Srishti Medicare Private Limited,500.0,Jaipur
Dr. Narendra,General Surgeon,12,"Mansarovar , Jaipur",Metro MAS Hospital,500.0,Jaipur
Dr. Mumtaz Ali Khan,Anesthesiologist,33,"Ganesh Vihar , Jaipur",HCG Cancer Centre,1200.0,Jaipur
Dr. Jitendra Kumar Pehalajani,General Physician,15,"Ganesh Vihar , Jaipur",HCG Cancer Centre,1200.0,Jaipur
Dr. Vikas Mittal,General Physician,26,"Shyam Nagar , Jaipur",Unikare Hospital,600.0,Jaipur
Dr. Sanjeev Kumar Sharma,General Physician,16,"Gopalpura , Jaipur",Dr Sanjeev's Pain Clinic,500.0,Jaipur
Dr. Sunny Singhal,Geriatrician,12,"Durgapura , Jaipur",Singhal Clinic,100.0,Jaipur
Dr. Aruna Jain,Pediatrician,20,"Vidhyadhar Nagar , Jaipur",Manipal Hospitals,500.0,Jaipur
Dr. Devendra Gupta,General Physician,13,"Jhotwara , Jaipur",AARVI HOSPITAL,200.0,Jaipur
Dr. Rishav Bansal,Geriatrician,13,"C Scheme , Jaipur",Bansal Health Clinic,650.0,Jaipur
Dr. Prashant Garg,General Surgeon,14,"Vidhyadhar Nagar , Jaipur",Manipal Hospitals,400.0,Jaipur
Dr. Peeyush Bhargava,General Physician,27,"Malviya Nagar , Jaipur",Girdhar Hospital And Research Centre,500.0,Jaipur
Dr. Vipin Kumar Jain,General Physician,38,"Vidhyadhar Nagar , Jaipur",Manipal Hospitals,500.0,Jaipur
Dr. Ashish Sharma,Urologist,18,"Pratap Nagar , Jaipur",Maharshi Urology and Super speciality hospital,600.0,Jaipur
Dr. Ravikant Porwal,Internal Medicine,24,"Vidhyadhar Nagar , Jaipur",Manipal Hospitals,500.0,Jaipur
Dr. Gaurav Kulwal,Neurosurgeon,21,"Vidhyadhar Nagar , Jaipur",Manipal Hospitals,500.0,Jaipur
Dr. Neha Vashisth,General Physician,16,"Tonk Phatak , Jaipur",Femcare Clinic,300.0,Jaipur
Dr. Dinesh Mehta,General Physician,4,"sanganer , Jaipur",Health Line Clinic,250.0,Jaipur
Dr. Pradeep Bhati,General Physician,12,"Devi Nagar , Jaipur",DD CLINIC,5.0,Jaipur
Dr. Shishir Hada,General Physician,17,"Jagatpura , Jaipur",New Jyoti Medical,300.0,Jaipur
Dr. Jitesh,General Physician,6,"Dudu , Jaipur",Dr Jitesh Bhakar Clinic,150.0,Jaipur
Dr. Rohit Kumar Sharma,General Physician,11,"Jagatpura , Jaipur",Sports Injury and Orthopedic Clinic,400.0,Jaipur
Dr. Chandan Kedawat,Internal Medicine,33,"Vidhyadhar Nagar , Jaipur",Manipal Hospitals,500.0,Jaipur
Dr. Rajveersingh Shekhawat,General Physician,18,"SEZ Road , Jaipur",Eva Preventive Health Clinic,300.0,Jaipur
Dr. Suresh Kumar Bansal,Neurologist,55,"Industrial Area Phase I , Chandigarh",Eden Hospital,,Chandigarh
Dr. Sanjeev Bhatia,Laparoscopic Surgeon,24,"Sector 21 , Chandigarh",Global Health Care Clinic,500.0,Chandigarh
Dr. S.K. Chawla,General Physician,47,"Sector-15 , Chandigarh",Famicare Clinic,300.0,Chandigarh
Dr. Sandeep Singh Chhatwal,Internal Medicine,28,"Sector 34 , Chandigarh",Omni Clinics And Diagnostics,1000.0,Chandigarh
Dr. Sanjeev Kumar,General Practitioner,20,"Zirakpur , Chandigarh",Doctor Square Multispeciality Hospital,400.0,Chandigarh
Dr. Ajit Gupta,General Physician,65,"Sector 20 , Chandigarh",Dr. Ajit Gupta Clinic,200.0,Chandigarh
Dr. Puneet Mittal,General Physician,28,"Sector 44 , Chandigarh",Advance Medical Clinic,300.0,Chandigarh
